Title,Artist,Spotify_Popularity,Artist_Popularity,year
theme from “a summer place”,Percy Faith,52,52,1960
he’ll have to go,Jim Reeves,-1,60,1960
cathy’s clown,Everly Brothers,-1,62,1960
running bear,Johnny Preston,-1,34,1960
teen angel,Mark Dinning,-1,22,1960
i’m sorry,Brenda Lee,-1,75,1960
it’s now or never,Elvis Presley,-1,81,1960
handy man,Jimmy Jones,-1,43,1960
stuck on you,Elvis Presley,-1,81,1960
the twist,Chubby Checker,-1,55,1960
everybody’s somebody’s fool,Connie Francis,-1,56,1960
wild one,Bobby Rydell,-1,46,1960
greenfields,Brothers Four,45,49,1960
what in the world’s come over you,Jack Scott,-1,32,1960
el paso,Marty Robbins,61,62,1960
alley-oop,Hollywood Argyles,-1,18,1960
my heart has a mind of its own,Connie Francis,-1,56,1960
sweet nothin’s,Brenda Lee,-1,75,1960
itsy bitsy teenie weenie yellow polkadot bikini,Brian Hyland,-1,49,1960
only the lonely,Roy Orbison,-1,68,1960
where or when,Dion and The Belmonts,29,53,1960
sixteen reasons,Connie Stevens,-1,24,1960
puppy love,Paul Anka,-1,64,1960
why,Frankie Avalon,8,45,1960
"walk, dont run",Ventures,41,50,1960
save the last dance for me,Drifters,-1,64,1960
baby (you got what it takes),Brook Benton and Dinah Washington,-1,11,1960
sink the bismark,Johnny Horton,46,51,1960
chain gang,Sam Cooke,32,70,1960
let it be me,Everly Brothers,8,62,1960
good timin’,Jimmy Jones,-1,43,1960
beyond the sea,Bobby Darin,59,62,1960
go jimmy go,Jimmy Clanton,-1,27,1960
night,Jackie Wilson,3,62,1960
burning bridges,Jack Scott,-1,32,1960
the big hurt,Toni Fisher,-1,12,1960
because they’re young,Duane Eddy,-1,44,1960
lonely blue boy,Conway Twitty,-1,60,1960
pretty blue eyes,Steve Lawrence,-1,36,1960
way down yonder in new orleans,Freddie Cannon,-1,-1,1960
paper roses,Anita Bryant,-1,19,1960
mr. custer,Larry Verne,-1,13,1960
i want to be wanted,Brenda Lee,28,75,1960
mule skinner blues,Fendermen,27,19,1960
cradle of love,Johnny Preston,-1,34,1960
you’ve got what it takes,Marv Johnson,-1,28,1960
"please help me, i’m falling",Hank Locklin,-1,48,1960
love you so,Ron Holden,-1,13,1960
finger poppin’ time,Hank Ballard and The Midnighters,-1,28,1960
harbor lights,Platters,36,66,1960
let the little girl dance,Billy Bland,-1,13,1960
he’ll have to stay,Jeanne Black,-1,10,1960
theme from the apartment,Ferrante and Teicher,-1,41,1960
volare (nel blu dipinto di blu),Bobby Rydell,-1,46,1960
a million to one,Jimmy Charles,-1,14,1960
the village of st. bernadette,Andy Williams,-1,76,1960
the old lamplighter,The Browns,-1,30,1960
white silver sands,Bill Black’s Combo,-1,6,1960
devil or angel,Bobby Vee,27,53,1960
down by the station,Four Preps,-1,33,1960
forever,Little Dippers,-1,13,1960
image of a girl,Safaris and The Phantom’s Band,-1,-1,1960
kiddio,Brook Benton,-1,48,1960
