Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
aankh marey,"kumar sanu, mika singh, neha kakkar",bollywooddance,simmba,8.8/10,"aankh marey kumar sanu, mika singh, neha kakkar simmba bollywooddance"
coca cola,"neha kakkar, tony kakkar",bollywooddanceromantic,luka chuppi,9.0/10,"coca cola neha kakkar, tony kakkar luka chuppi bollywooddanceromantic"
apna time aayega,ranveer singh,bollywooddance,gully boy,9.7/10,apna time aayega ranveer singh gully boy bollywooddance
mungda,"jyotica tangri, shaan, subhro ganguly",bollywooddance,total dhamaal,9.1/10,"mungda jyotica tangri, shaan, subhro ganguly total dhamaal bollywooddance"
tere bin,"asees kaur, rahat fateh ali khan, tanishk bagchi",bollywoodromantic,simmba,9.2/10,"tere bin asees kaur, rahat fateh ali khan, tanishk bagchi simmba bollywoodromantic"
gali gali,neha kakkar,bollywooddance,kgf,9.1/10,gali gali neha kakkar kgf bollywooddance
chamma chamma,"arun, ikka, neha kakkar, romy",bollywooddance,fraud saiyaan,9.2/10,"chamma chamma arun, ikka, neha kakkar, romy fraud saiyaan bollywooddance"
mere gully mein,ranveer singh,bollywooddance,gully boy,9.5/10,mere gully mein ranveer singh gully boy bollywooddance
kamariya,darshan raval,bollywooddance,mitron,9.2/10,kamariya darshan raval mitron bollywooddance
ek ladki ko dekha toh aisa laga,"darshan raval, rochak kohli",bollywoodromantic,ek ladki ko dekha toh aisa laga,9.6/10,"ek ladki ko dekha toh aisa laga darshan raval, rochak kohli ek ladki ko dekha toh aisa laga bollywoodromantic"
swag se swagat,"neha bhasin, vishal dadlani",bollywooddance,tiger zinda hai,8.8/10,"swag se swagat neha bhasin, vishal dadlani tiger zinda hai bollywooddance"
poster lagwa do,"mika singh, sunanda sharma",bollywooddance,luka chuppi,8.4/10,"poster lagwa do mika singh, sunanda sharma luka chuppi bollywooddance"
daaru wargi,guru randhawa,bollywooddance,cheat india,9.1/10,daaru wargi guru randhawa cheat india bollywooddance
dilbar,"dhvani bhanushali, ikka, neha kakkar",bollywooddance,satyameva jayate,9.2/10,"dilbar dhvani bhanushali, ikka, neha kakkar satyameva jayate bollywooddance"
proper patola,"aastha gill, badshah, diljit dosanjh",bollywooddance,namaste england,9.0/10,"proper patola aastha gill, badshah, diljit dosanjh namaste england bollywooddance"
doori,ranveer singh,bollywooddance,gully boy,9.7/10,doori ranveer singh gully boy bollywooddance
dil diyan gallan,atif aslam,bollywoodromantic,tiger zinda hai,9.1/10,dil diyan gallan atif aslam tiger zinda hai bollywoodromantic
husn parcham,"bhoomi trivedi, raja kumari",bollywooddance,zero,9.0/10,"husn parcham bhoomi trivedi, raja kumari zero bollywooddance"
bom diggy diggy,"jasmin walia, zack knight",bollywooddance,sonu ke titu ki sweety,9.0/10,"bom diggy diggy jasmin walia, zack knight sonu ke titu ki sweety bollywooddance"
